Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2025-01-31,10846.4,11447.7,10699.4,11392.2
2025-02-28,11533.3,11962.2,11286.6,11545.9
2025-03-31,11483.1,12126.9,11125.5,12089.1
2025-04-30,12078.9,12979.4,11518.1,12422.5
2025-05-31,12415.7,12920.7,11809.9,12328.6
2025-06-30,12411.4,12790,11751.6,11891.8
2025-07-31,11895.7,12455.9,11878,12323.7
2025-08-31,12324.8,12584.1,12069.4,12580.6
2025-09-30,12583.1,14085.3,12534.8,14033.2
2025-10-31,14028,15946.5,13917.7,14763.4
2025-11-30,14769.8,15526.2,14580.1,15526.2
2025-12-31,15443.5,16307.1,15135.6,15503.1
2026-01-31,15549.8,15818.2,15465.5,15557.5
